company,job_url,location,page_index,posted,salary,search_query,source_url,title
ANRADUS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quant-researcher-77900-anradus-cd46d6e79872701a6fcf371a90c43295?source=MCF&event=Search,Islandwide,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quant Researcher #77900
QUANTMATTER PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quantitative-trader-quantmatter-f280dc2a96adae5e8acdd20f7b297362?source=MCF&event=Search,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quantitative Trader
GOLDEN HORSE FUND MANAGEMENT PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quant-researcher-golden-horse-fund-management-e035b70729492a84cdc0993d752a4489?source=MCF&event=SuggestedJob,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quant Researcher
SQUAREPOINT SERVICES SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/junior-quant-researcher-squarepoint-services-singapore-ea164e07dec12dc1a9b0deafbb726c39?source=MCF&event=Search,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Junior Quant Researcher
SQUAREPOINT SERVICES SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/desk-quant-analyst-squarepoint-services-singapore-5512ca3dd020bd06576333975672bff0?source=MCF&event=Search,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Desk Quant Analyst
ORBIT MARKETS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quant-trader-orbit-markets-9f4666078c9538a2b4a9d72be2e94e22?source=MCF&event=Search,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quant Trader
GOLDEN HORSE FUND MANAGEMENT PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quant-researcher-golden-horse-fund-management-e035b70729492a84cdc0993d752a4489?source=MCF&event=Search,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quant Researcher
NEWBRIDGE ALLIANCE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quant-trader-newbridge-alliance-5ede38cc01608cf52c9cdfd445e4c8f2?source=MCF&event=Search,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quant Trader
LUDISIA (CAYMAN) LTD. Singapore Branch,https://www.mycareersfuture.gov.sg/job/banking-finance/quantitative-trader-ludisia-singapore-branch-5da701a84bbbf34be15ae234ec33dc0f?source=MCF&event=Search,East,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quantitative Trader
TOWER RESEARCH CAPITAL (SINGAPORE) PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quantitative-trader-tower-research-capital-736d23e5c2bacf1ba875b426d0cbc101?source=MCF&event=Search,East,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quantitative Trader
"EXODUSPOINT CAPITAL MANAGEMENT SINGAPORE, PTE. LTD.",https://www.mycareersfuture.gov.sg/job/banking-finance/research-analyst-quantitative-strategies-exoduspoint-capital-management-singapore-4d46bca1ea6cb94a553305f1da72b082?source=MCF&event=Search,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Research Analyst - Quantitative Strategies
TALENTVIS SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/risk-management/quantitative-traders-talentvis-singapore-c78762bba41474fd18f18025783ac52d?source=MCF&event=Search,Islandwide,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quantitative Traders
MOOVITA PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/deployment-engineer-moovita-cb87ba2a920daa2dc6933705f527433b?source=MCF&event=SuggestedJob,West,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Deployment Engineer (Entry-Level)
RECRUIT EXPRESS PTE LTD,https://www.mycareersfuture.gov.sg/job/admin/supply-chain-logistics-executive-nka-recruit-express-c5364a89016e374bde6dc7e9609cfb45?source=MCF&event=SuggestedJob,Islandwide,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,"Supply Chain & Logistics Executive (Up to $3,800) #NKA"
KBX RECRUITMENT PTE. LTD.,https://www.mycareersfuture.gov.sg/job/human-resources/business-development-manager-united-service-technology-decc0be0fcdcd568f582ebd339f28f78?source=MCF&event=SuggestedJob,East,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Business Development Manager
LUDISIA (CAYMAN) LTD. Singapore Branch,https://www.mycareersfuture.gov.sg/job/banking-finance/quantitative-trader-ludisia-singapore-branch-5da701a84bbbf34be15ae234ec33dc0f?source=MCF&event=SuggestedJob,East,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quantitative Trader
TOWER RESEARCH CAPITAL (SINGAPORE) PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quantitative-trader-tower-research-capital-736d23e5c2bacf1ba875b426d0cbc101?source=MCF&event=SuggestedJob,East,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quantitative Trader
ORBIT MARKETS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quant-trader-orbit-markets-9f4666078c9538a2b4a9d72be2e94e22?source=MCF&event=SuggestedJob,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quant Trader
QUANTMATTER PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/quantitative-trader-quantmatter-f280dc2a96adae5e8acdd20f7b297362?source=MCF&event=SuggestedJob,Central,0,,,quant,https://www.mycareersfuture.gov.sg/search?search=quant&sortBy=new_posting_date&page=0,Quantitative Trader
